Metodo,Zona,Sitio,Buzo,Replica,Tiempo toma de datos,Tiempo digitalización de datos,Tiempo Total,Fecha,Minutos toma de datos,Minutos digitalización de datos,Tiempo Total,Día,Transecto
Fotocuadrantes,Planicie,1,A,1,12:22:00 AM,12:31:00 AM,12:53:00 AM,07/10/09,22,31,53,7,Planicie_1
Fotocuadrantes,Planicie,1,C,1,12:21:00 AM,12:22:00 AM,12:43:00 AM,07/10/09,21,22,43,7,Planicie_1
Fotocuadrantes,Planicie,1,B,1,12:30:00 AM,12:35:00 AM,01:05:00 AM,07/10/09,30,35,65,7,Planicie_1
Fotocuadrantes,Planicie,1,A,2,12:18:00 AM,12:28:00 AM,12:46:00 AM,10/10/09,18,28,46,10,Planicie_1
Fotocuadrantes,Planicie,1,C,2,12:14:00 AM,12:23:00 AM,12:37:00 AM,10/10/09,14,23,37,10,Planicie_1
Fotocuadrantes,Planicie,1,B,2,12:22:00 AM,12:28:00 AM,12:50:00 AM,10/10/09,22,28,50,10,Planicie_1
Fotocuadrantes,Planicie,2,A,1,12:26:00 AM,12:18:00 AM,12:44:00 AM,07/10/09,26,18,44,7,Planicie_2
Fotocuadrantes,Planicie,2,C,1,12:19:00 AM,12:28:00 AM,12:47:00 AM,07/10/09,19,28,47,7,Planicie_2
Fotocuadrantes,Planicie,2,B,1,12:26:00 AM,12:27:00 AM,12:53:00 AM,07/10/09,26,27,53,7,Planicie_2
Fotocuadrantes,Planicie,2,A,2,12:19:00 AM,12:28:00 AM,12:47:00 AM,10/10/09,19,28,47,10,Planicie_2
Fotocuadrantes,Planicie,2,C,2,12:15:00 AM,12:23:00 AM,12:38:00 AM,10/10/09,15,23,38,10,Planicie_2
Fotocuadrantes,Planicie,2,B,2,12:19:00 AM,12:35:00 AM,12:54:00 AM,10/10/09,19,35,54,10,Planicie_2
Fotocuadrantes,Planicie,3,A,1,12:20:00 AM,12:27:00 AM,12:47:00 AM,07/10/09,20,27,47,7,Planicie_3
Fotocuadrantes,Planicie,3,C,1,12:18:00 AM,12:23:00 AM,12:41:00 AM,07/10/09,18,23,41,7,Planicie_3
Fotocuadrantes,Planicie,3,B,1,12:28:00 AM,12:34:00 AM,01:02:00 AM,07/10/09,28,34,62,7,Planicie_3
Fotocuadrantes,Planicie,3,A,2,12:19:00 AM,12:25:00 AM,12:44:00 AM,10/10/09,19,25,44,10,Planicie_3
Fotocuadrantes,Planicie,3,C,2,12:13:00 AM,12:26:00 AM,12:39:00 AM,10/10/09,13,26,39,10,Planicie_3
Fotocuadrantes,Planicie,3,B,2,12:22:00 AM,12:33:00 AM,12:55:00 AM,10/10/09,22,33,55,10,Planicie_3
Fotocuadrantes,Talud,1,A,1,12:24:00 AM,12:32:00 AM,12:56:00 AM,08/10/09,24,32,56,8,Talud_1
Fotocuadrantes,Talud,1,C,1,12:24:00 AM,12:40:00 AM,01:04:00 AM,08/10/09,24,40,64,8,Talud_1
Fotocuadrantes,Talud,1,B,1,12:30:00 AM,12:42:00 AM,01:12:00 AM,08/10/09,30,42,72,8,Talud_1
Fotocuadrantes,Talud,1,A,2,12:22:00 AM,12:27:00 AM,12:49:00 AM,10/10/09,22,27,49,10,Talud_1
Fotocuadrantes,Talud,1,C,2,12:12:00 AM,12:27:00 AM,12:39:00 AM,10/10/09,12,27,39,10,Talud_1
Fotocuadrantes,Talud,1,B,2,12:30:00 AM,12:37:00 AM,01:07:00 AM,10/10/09,30,37,67,10,Talud_1
Fotocuadrantes,Talud,2,A,1,12:23:00 AM,12:40:00 AM,01:03:00 AM,06/10/09,23,40,63,6,Talud_2
Fotocuadrantes,Talud,2,C,1,12:21:00 AM,12:34:00 AM,12:55:00 AM,08/10/09,21,34,55,8,Talud_2
Fotocuadrantes,Talud,2,B,1,12:24:00 AM,12:42:00 AM,01:06:00 AM,08/10/09,24,42,66,8,Talud_2
Fotocuadrantes,Talud,2,A,2,12:17:00 AM,12:25:00 AM,12:42:00 AM,10/10/09,17,25,42,10,Talud_2
Fotocuadrantes,Talud,2,C,2,12:17:00 AM,12:29:00 AM,12:46:00 AM,10/10/09,17,29,46,10,Talud_2
Fotocuadrantes,Talud,2,B,2,12:20:00 AM,12:33:00 AM,12:53:00 AM,10/10/09,20,33,53,10,Talud_2
Fotocuadrantes,Talud,3,A,1,12:24:00 AM,12:33:00 AM,12:57:00 AM,08/10/09,24,33,57,8,Talud_3
Fotocuadrantes,Talud,3,C,1,12:21:00 AM,12:29:00 AM,12:50:00 AM,08/10/09,21,29,50,8,Talud_3
Fotocuadrantes,Talud,3,B,1,12:49:00 AM,12:37:00 AM,01:26:00 AM,06/10/09,49,37,86,6,Talud_3
Fotocuadrantes,Talud,3,A,2,12:16:00 AM,12:37:00 AM,12:53:00 AM,10/10/09,16,37,53,10,Talud_3
Fotocuadrantes,Talud,3,C,2,12:12:00 AM,12:27:00 AM,12:39:00 AM,10/10/09,12,27,39,10,Talud_3
Fotocuadrantes,Talud,3,B,2,12:25:00 AM,12:34:00 AM,12:59:00 AM,10/10/09,25,34,59,10,Talud_3
Cuadrantes,Planicie,1,A,1,12:29:00 AM,12:11:00 AM,12:40:00 AM,06/10/09,29,11,40,6,Planicie_1
Cuadrantes,Planicie,1,C,1,12:44:00 AM,12:14:00 AM,12:58:00 AM,06/10/09,44,14,58,6,Planicie_1
Cuadrantes,Planicie,1,B,1,12:42:00 AM,12:08:00 AM,12:50:00 AM,05/10/09,42,8,50,5,Planicie_1
Cuadrantes,Planicie,1,A,2,12:16:00 AM,12:07:00 AM,12:23:00 AM,09/10/09,16,7,23,9,Planicie_1
Cuadrantes,Planicie,1,C,2,12:11:00 AM,12:09:00 AM,12:20:00 AM,09/10/09,11,9,20,9,Planicie_1
Cuadrantes,Planicie,1,B,2,12:14:00 AM,12:06:00 AM,12:20:00 AM,09/10/09,14,6,20,9,Planicie_1
Cuadrantes,Planicie,2,A,1,12:16:00 AM,12:10:00 AM,12:26:00 AM,05/10/09,16,10,26,5,Planicie_2
Cuadrantes,Planicie,2,C,1,12:35:00 AM,12:09:00 AM,12:44:00 AM,06/10/09,35,9,44,6,Planicie_2
Cuadrantes,Planicie,2,B,1,12:12:00 AM,12:06:00 AM,12:18:00 AM,06/10/09,12,6,18,6,Planicie_2
Cuadrantes,Planicie,2,A,2,12:12:00 AM,12:12:00 AM,12:24:00 AM,09/10/09,12,12,24,9,Planicie_2
Cuadrantes,Planicie,2,C,2,12:11:00 AM,12:04:00 AM,12:15:00 AM,09/10/09,11,4,15,9,Planicie_2
Cuadrantes,Planicie,2,B,2,12:10:00 AM,12:05:00 AM,12:15:00 AM,09/10/09,10,5,15,9,Planicie_2
Cuadrantes,Planicie,3,A,1,12:24:00 AM,12:15:00 AM,12:39:00 AM,06/10/09,24,15,39,6,Planicie_3
Cuadrantes,Planicie,3,C,1,12:38:00 AM,12:08:00 AM,12:46:00 AM,05/10/09,38,8,46,5,Planicie_3
Cuadrantes,Planicie,3,B,1,12:23:00 AM,12:09:00 AM,12:32:00 AM,06/10/09,23,9,32,6,Planicie_3
Cuadrantes,Planicie,3,A,2,12:15:00 AM,12:11:00 AM,12:26:00 AM,09/10/09,15,11,26,9,Planicie_3
Cuadrantes,Planicie,3,C,2,12:13:00 AM,12:09:00 AM,12:22:00 AM,09/10/09,13,9,22,9,Planicie_3
Cuadrantes,Planicie,3,B,2,12:11:00 AM,12:07:00 AM,12:18:00 AM,09/10/09,11,7,18,9,Planicie_3
Cuadrantes,Talud,1,A,1,12:25:00 AM,12:15:00 AM,12:40:00 AM,06/10/09,25,15,40,6,Talud_1
Cuadrantes,Talud,1,C,1,12:25:00 AM,12:10:00 AM,12:35:00 AM,06/10/09,25,10,35,6,Talud_1
Cuadrantes,Talud,1,B,1,12:38:00 AM,12:15:00 AM,12:53:00 AM,05/10/09,38,15,53,5,Talud_1
Cuadrantes,Talud,1,A,2,12:26:00 AM,12:19:00 AM,12:45:00 AM,10/10/09,26,19,45,10,Talud_1
Cuadrantes,Talud,1,C,2,12:11:00 AM,12:11:00 AM,12:22:00 AM,10/10/09,11,11,22,10,Talud_1
Cuadrantes,Talud,1,B,2,12:14:00 AM,12:09:00 AM,12:23:00 AM,10/10/09,14,9,23,10,Talud_1
Cuadrantes,Talud,2,A,1,12:20:00 AM,12:09:00 AM,12:29:00 AM,05/10/09,20,9,29,5,Talud_2
Cuadrantes,Talud,2,C,1,12:27:00 AM,12:08:00 AM,12:35:00 AM,06/10/09,27,8,35,6,Talud_2
Cuadrantes,Talud,2,B,1,12:15:00 AM,12:07:00 AM,12:22:00 AM,05/10/09,15,7,22,5,Talud_2
Cuadrantes,Talud,2,A,2,12:15:00 AM,12:10:00 AM,12:25:00 AM,10/10/09,15,10,25,10,Talud_2
Cuadrantes,Talud,2,C,2,12:10:00 AM,12:04:00 AM,12:14:00 AM,10/10/09,10,4,14,10,Talud_2
Cuadrantes,Talud,2,B,2,12:10:00 AM,12:05:00 AM,12:15:00 AM,10/10/09,10,5,15,10,Talud_2
Cuadrantes,Talud,3,A,1,12:22:00 AM,12:09:00 AM,12:31:00 AM,05/10/09,22,9,31,5,Talud_3
Cuadrantes,Talud,3,C,1,12:26:00 AM,12:05:00 AM,12:31:00 AM,06/10/09,26,5,31,6,Talud_3
Cuadrantes,Talud,3,B,1,12:11:00 AM,12:05:00 AM,12:16:00 AM,05/10/09,11,5,16,5,Talud_3
Cuadrantes,Talud,3,A,2,12:11:00 AM,12:09:00 AM,12:20:00 AM,10/10/09,11,9,20,10,Talud_3
Cuadrantes,Talud,3,C,2,12:09:00 AM,12:04:00 AM,12:13:00 AM,10/10/09,9,4,13,10,Talud_3
Cuadrantes,Talud,3,B,2,12:07:00 AM,12:03:00 AM,12:10:00 AM,10/10/09,7,3,10,10,Talud_3
Cadenas,Planicie,1,A,1,12:31:00 AM,12:14:00 AM,12:45:00 AM,04/10/09,31,14,45,4,Planicie_1
Cadenas,Planicie,1,C,1,12:21:00 AM,12:21:00 AM,12:42:00 AM,05/10/09,21,21,42,5,Planicie_1
Cadenas,Planicie,1,B,1,12:20:00 AM,12:10:00 AM,12:30:00 AM,04/10/09,20,10,30,4,Planicie_1
Cadenas,Planicie,1,A,2,12:17:00 AM,12:13:00 AM,12:30:00 AM,09/10/09,17,13,30,9,Planicie_1
Cadenas,Planicie,1,C,2,12:11:00 AM,12:07:00 AM,12:18:00 AM,09/10/09,11,7,18,9,Planicie_1
Cadenas,Planicie,1,B,2,12:16:00 AM,12:09:00 AM,12:25:00 AM,09/10/09,16,9,25,9,Planicie_1
Cadenas,Planicie,2,A,1,12:22:00 AM,12:08:00 AM,12:30:00 AM,04/10/09,22,8,30,4,Planicie_2
Cadenas,Planicie,2,C,1,12:17:00 AM,12:07:00 AM,12:24:00 AM,05/10/09,17,7,24,5,Planicie_2
Cadenas,Planicie,2,B,1,12:20:00 AM,12:05:00 AM,12:25:00 AM,04/10/09,20,5,25,4,Planicie_2
Cadenas,Planicie,2,A,2,12:14:00 AM,12:09:00 AM,12:23:00 AM,09/10/09,14,9,23,9,Planicie_2
Cadenas,Planicie,2,C,2,12:11:00 AM,12:05:00 AM,12:16:00 AM,09/10/09,11,5,16,9,Planicie_2
Cadenas,Planicie,2,B,2,12:11:00 AM,12:04:00 AM,12:15:00 AM,09/10/09,11,4,15,9,Planicie_2
Cadenas,Planicie,3,A,1,12:12:00 AM,12:06:00 AM,12:18:00 AM,05/10/09,12,6,18,5,Planicie_3
Cadenas,Planicie,3,C,1,12:19:00 AM,12:07:00 AM,12:26:00 AM,04/10/09,19,7,26,4,Planicie_3
Cadenas,Planicie,3,B,1,12:14:00 AM,12:03:00 AM,12:17:00 AM,04/10/09,14,3,17,4,Planicie_3
Cadenas,Planicie,3,A,2,12:11:00 AM,12:04:00 AM,12:15:00 AM,09/10/09,11,4,15,9,Planicie_3
Cadenas,Planicie,3,C,2,12:13:00 AM,12:03:00 AM,12:16:00 AM,09/10/09,13,3,16,9,Planicie_3
Cadenas,Planicie,3,B,2,12:09:00 AM,12:02:00 AM,12:11:00 AM,09/10/09,9,2,11,9,Planicie_3
Cadenas,Talud,1,A,1,12:31:00 AM,12:14:00 AM,12:45:00 AM,04/10/09,31,14,45,4,Talud_1
Cadenas,Talud,1,C,1,12:18:00 AM,12:19:00 AM,12:37:00 AM,05/10/09,18,19,37,5,Talud_1
Cadenas,Talud,1,B,1,12:20:00 AM,12:06:00 AM,12:26:00 AM,04/10/09,20,6,26,4,Talud_1
Cadenas,Talud,1,A,2,12:22:00 AM,12:10:00 AM,12:32:00 AM,08/10/09,22,10,32,8,Talud_1
Cadenas,Talud,1,C,2,12:13:00 AM,12:06:00 AM,12:19:00 AM,08/10/09,13,6,19,8,Talud_1
Cadenas,Talud,1,B,2,12:12:00 AM,12:09:00 AM,12:21:00 AM,08/10/09,12,9,21,8,Talud_1
Cadenas,Talud,2,A,1,12:13:00 AM,12:10:00 AM,12:23:00 AM,05/10/09,13,10,23,5,Talud_2
Cadenas,Talud,2,C,1,12:23:00 AM,12:04:00 AM,12:27:00 AM,04/10/09,23,4,27,4,Talud_2
Cadenas,Talud,2,B,1,12:16:00 AM,12:03:00 AM,12:19:00 AM,04/10/09,16,3,19,4,Talud_2
Cadenas,Talud,2,A,2,12:14:00 AM,12:05:00 AM,12:19:00 AM,08/10/09,14,5,19,8,Talud_2
Cadenas,Talud,2,C,2,12:12:00 AM,12:03:00 AM,12:15:00 AM,08/10/09,12,3,15,8,Talud_2
Cadenas,Talud,2,B,2,12:12:00 AM,12:03:00 AM,12:15:00 AM,08/10/09,12,3,15,8,Talud_2
Cadenas,Talud,3,A,1,12:26:00 AM,12:11:00 AM,12:37:00 AM,04/10/09,26,11,37,4,Talud_3
Cadenas,Talud,3,C,1,12:20:00 AM,12:06:00 AM,12:26:00 AM,04/10/09,20,6,26,4,Talud_3
Cadenas,Talud,3,B,1,12:21:00 AM,12:10:00 AM,12:31:00 AM,05/10/09,21,10,31,5,Talud_3
Cadenas,Talud,3,A,2,12:11:00 AM,12:04:00 AM,12:15:00 AM,08/10/09,11,4,15,8,Talud_3
Cadenas,Talud,3,C,2,12:11:00 AM,12:07:00 AM,12:18:00 AM,08/10/09,11,7,18,8,Talud_3
Cadenas,Talud,3,B,2,12:15:00 AM,12:07:00 AM,12:22:00 AM,08/10/09,15,7,22,8,Talud_3
